DATE,new_private_house
2013-07-01,784.0
2013-08-01,765.0
2013-09-01,776.0
2013-10-01,801.0
2013-11-01,839.0
2013-12-01,778.0
2014-01-01,838.0
2014-02-01,876.0
2014-03-01,893.0
2014-04-01,834.0
2014-05-01,891.0
2014-06-01,800.0
2014-07-01,839.0
2014-08-01,908.0
2014-09-01,975.0
2014-10-01,920.0
2014-11-01,863.0
2014-12-01,955.0
2015-01-01,954.0
2015-02-01,863.0
2015-03-01,781.0
2015-04-01,1001.0
2015-05-01,1012.0
2015-06-01,962.0
2015-07-01,988.0
2015-08-01,974.0
2015-09-01,1040.0
2015-10-01,985.0
2015-11-01,1000.0
2015-12-01,1023.0
2016-01-01,1056.0
2016-02-01,1037.0
2016-03-01,1003.0
2016-04-01,945.0
2016-05-01,1000.0
2016-06-01,1109.0
2016-07-01,1072.0
2016-08-01,1054.0
2016-09-01,1035.0
2016-10-01,1070.0
2016-11-01,1244.0
2016-12-01,1101.0
2017-01-01,1081.0
2017-02-01,1148.0
2017-03-01,1147.0
2017-04-01,1069.0
2017-05-01,1170.0
2017-06-01,1236.0
2017-07-01,1173.0
2017-08-01,1107.0
2017-09-01,1113.0
2017-10-01,1196.0
2017-11-01,1182.0
2017-12-01,1200.0
2018-01-01,1208.0
2018-02-01,1288.0
2018-03-01,1181.0
2018-04-01,1224.0
2018-05-01,1262.0
2018-06-01,1212.0
2018-07-01,1150.0
2018-08-01,1262.0
2018-09-01,1187.0
2018-10-01,1122.0
2018-11-01,1131.0
2018-12-01,1053.0
2019-01-01,1258.0
2019-02-01,1334.0
2019-03-01,1301.0
2019-04-01,1329.0
2019-05-01,1226.0
2019-06-01,1169.0
2019-07-01,1219.0
2019-08-01,1294.0
2019-09-01,1150.0
2019-10-01,1294.0
2019-11-01,1244.0
2019-12-01,1310.0
2020-01-01,1302.0
2020-02-01,1271.0
2020-03-01,1247.0
2020-04-01,1207.0
2020-05-01,1171.0
2020-06-01,1244.0
2020-07-01,1314.0
2020-08-01,1238.0
2020-09-01,1446.0
2020-10-01,1370.0
2020-11-01,1240.0
2020-12-01,1386.0
2021-01-01,1344.0
2021-02-01,1322.0
2021-03-01,1459.0
2021-04-01,1438.0
2021-05-01,1337.0
2021-06-01,1298.0
2021-07-01,1361.0
2021-08-01,1312.0
2021-09-01,1232.0
2021-10-01,1259.0
2021-11-01,1389.0
2021-12-01,1337.0
2022-01-01,1256.0
2022-02-01,1371.0
2022-03-01,1356.0
2022-04-01,1361.0
2022-05-01,1446.0
2022-06-01,1392.0
2022-07-01,1396.0
2022-08-01,1355.0
2022-09-01,1438.0
2022-10-01,1348.0
2022-11-01,1543.0
2022-12-01,1390.0
2023-01-01,1377.0
2023-02-01,1577.0
2023-03-01,1528.0
2023-04-01,1416.0
2023-05-01,1534.0
2023-06-01,1492.0
2023-07-01,1334.0
2023-08-01,1363.0
