DATE,permit
2022-10-01,1555.0
2022-11-01,1402.0
2022-12-01,1409.0
2023-01-01,1354.0
2023-02-01,1482.0
2023-03-01,1437.0
2023-04-01,1417.0
2023-05-01,1496.0
2023-06-01,1441.0
2023-07-01,1443.0
2023-08-01,1541.0
